source,rowid,brand,component_type,old_model,new_model
components.db,262891,FOJAN(富捷),厚膜电阻,FRC0402J222TS,FRC0402J222 TS
components.db,262893,FOJAN(富捷),厚膜电阻,FRC0402J564TS,FRC0402J564 TS
components.db,262894,FOJAN(富捷),厚膜电阻,FRC1206J3R0TS,FRC1206J3R0 TS
components.db,262895,FOJAN(富捷),厚膜电阻,FRC0603J131TS,FRC0603J131 TS
components.db,262898,FOJAN(富捷),厚膜电阻,FRC0805J822TS,FRC0805J822 TS
components.db,262900,FOJAN(富捷),厚膜电阻,FRC0805J472TS,FRC0805J472 TS
components.db,262901,FOJAN(富捷),厚膜电阻,FRC0603J120TS,FRC0603J120 TS
components.db,262902,FOJAN(富捷),厚膜电阻,FRC0603J205TS,FRC0603J205 TS
components.db,262903,FOJAN(富捷),厚膜电阻,FRC0603J752TS,FRC0603J752 TS
components.db,262904,FOJAN(富捷),厚膜电阻,FRC2512J101TS,FRC2512J101 TS
components.db,262905,FOJAN(富捷),厚膜电阻,FRC0603J330TS,FRC0603J330 TS
components.db,262906,FOJAN(富捷),厚膜电阻,FRC0805J4R7TS,FRC0805J4R7 TS
components.db,262909,FOJAN(富捷),厚膜电阻,FRC1206J515TS,FRC1206J515 TS
components.db,262910,FOJAN(富捷),厚膜电阻,FRC0603J220TS,FRC0603J220 TS
components.db,262911,FOJAN(富捷),厚膜电阻,FRC1206J475TS,FRC1206J475 TS
components.db,262914,FOJAN(富捷),厚膜电阻,FRC0603J161TS,FRC0603J161 TS
components.db,262915,FOJAN(富捷),厚膜电阻,FRC1206J151TS,FRC1206J151 TS
components.db,262918,FOJAN(富捷),厚膜电阻,FRC1206J275TS,FRC1206J275 TS
components.db,262919,FOJAN(富捷),厚膜电阻,FRC0603J820TS,FRC0603J820 TS
components.db,262922,FOJAN(富捷),厚膜电阻,FRC1206J203TS,FRC1206J203 TS
components.db,262924,FOJAN(富捷),厚膜电阻,FRC1206J472TS,FRC1206J472 TS
components.db,262926,FOJAN(富捷),厚膜电阻,FRC1206J225TS,FRC1206J225 TS
components.db,262930,FOJAN(富捷),厚膜电阻,FRC2512J121TS,FRC2512J121 TS
components.db,262931,FOJAN(富捷),厚膜电阻,FRC1206J1R8TS,FRC1206J1R8 TS
components.db,262932,FOJAN(富捷),厚膜电阻,FRC0603J332TS,FRC0603J332 TS
components.db,262933,FOJAN(富捷),厚膜电阻,FRC0603J823TS,FRC0603J823 TS
components.db,262934,FOJAN(富捷),厚膜电阻,FRC0603J135TS,FRC0603J135 TS
components.db,262935,FOJAN(富捷),厚膜电阻,FRC0402J3R3TS,FRC0402J3R3 TS
components.db,262936,FOJAN(富捷),厚膜电阻,FRC0603J913TS,FRC0603J913 TS
components.db,262937,FOJAN(富捷),厚膜电阻,FRC0805J824TS,FRC0805J824 TS
components.db,262938,FOJAN(富捷),厚膜电阻,FRC0603J154TS,FRC0603J154 TS
components.db,262939,FOJAN(富捷),厚膜电阻,FRC0603J133TS,FRC0603J133 TS
components.db,262942,FOJAN(富捷),厚膜电阻,FRC1206J362TS,FRC1206J362 TS
components.db,262943,FOJAN(富捷),厚膜电阻,FRC0603J160TS,FRC0603J160 TS
components.db,262944,FOJAN(富捷),厚膜电阻,FRC0603J334TS,FRC0603J334 TS
components.db,262945,FOJAN(富捷),厚膜电阻,FRC0603J3R0TS,FRC0603J3R0 TS
components.db,262946,FOJAN(富捷),厚膜电阻,FRC0603J564TS,FRC0603J564 TS
components.db,262947,FOJAN(富捷),厚膜电阻,FRC0603J360TS,FRC0603J360 TS
components.db,262948,FOJAN(富捷),厚膜电阻,FRC0402J750TS,FRC0402J750 TS
components.db,262950,FOJAN(富捷),厚膜电阻,FRC0805J154TS,FRC0805J154 TS
components.db,262952,FOJAN(富捷),厚膜电阻,FRC0805J912TS,FRC0805J912 TS
components.db,262953,FOJAN(富捷),厚膜电阻,FRC0603J2R0TS,FRC0603J2R0 TS
components.db,262954,FOJAN(富捷),厚膜电阻,FRC1206J334TS,FRC1206J334 TS
components.db,262955,FOJAN(富捷),厚膜电阻,FRC0805J682TS,FRC0805J682 TS
components.db,262956,FOJAN(富捷),厚膜电阻,FRC0805J2R2TS,FRC0805J2R2 TS
components.db,262957,FOJAN(富捷),厚膜电阻,FRC0603J153TS,FRC0603J153 TS
components.db,262958,FOJAN(富捷),厚膜电阻,FRC0603J184TS,FRC0603J184 TS
components.db,262960,FOJAN(富捷),厚膜电阻,FRC0603J561TS,FRC0603J561 TS
components.db,262962,FOJAN(富捷),厚膜电阻,FRC1206J244TS,FRC1206J244 TS
components.db,262963,FOJAN(富捷),厚膜电阻,FRC1206J305TS,FRC1206J305 TS
components.db,262964,FOJAN(富捷),厚膜电阻,FRC0603J560TS,FRC0603J560 TS
components.db,262965,FOJAN(富捷),厚膜电阻,FRC0402J1R5TS,FRC0402J1R5 TS
components.db,262968,FOJAN(富捷),厚膜电阻,FRC0603J3R9TS,FRC0603J3R9 TS
components.db,262969,FOJAN(富捷),厚膜电阻,FRC1206J122TS,FRC1206J122 TS
components.db,262970,FOJAN(富捷),厚膜电阻,FRC0603J621TS,FRC0603J621 TS
components.db,262971,FOJAN(富捷),厚膜电阻,FRC1206J5R6TS,FRC1206J5R6 TS
components.db,262972,FOJAN(富捷),厚膜电阻,FRC0603J224TS,FRC0603J224 TS
components.db,262974,FOJAN(富捷),厚膜电阻,FRC0603J361TS,FRC0603J361 TS
components.db,262976,FOJAN(富捷),厚膜电阻,FRC0805J560TS,FRC0805J560 TS
components.db,262977,FOJAN(富捷),厚膜电阻,FRC0402J361TS,FRC0402J361 TS
