品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明
Bourns,SRP0512,SRP0512,5.4 x 5.1 x 1.2 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.4 x 5.1 x 1.2 mm,5.4 x 5.1 x 1.2 mm,3R3 | 0.47 10 2.1 8.3 | -40 to +125 | No | N/A,Active,5.4,5.1,1.2,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0515,SRP0515,5.4 x 5.1 x 1.5 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.4 x 5.1 x 1.5 mm,5.4 x 5.1 x 1.5 mm,3R3 | 0.47 10 2.4 9.3 | -40 to +125 | No | N/A,Active,5.4,5.1,1.5,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0520,SRP0520,5.4 x 5.1 x 2 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.4 x 5.1 x 2 mm,5.4 x 5.1 x 2 mm,3R3 | 0.47 10 2.4 12.5 | -40 to +125 | No | N/A,Active,5.4,5.1,2,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0610,SRP0610,7.1 x 6.7 x 1 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,7.1 x 6.7 x 1 mm,7.1 x 6.7 x 1 mm,1R5 | 0.47 10 2 4.7 | -40 to +125 | No | N/A,Active,7.1,6.7,1,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0612,SRP0612,7.1 x 6.7 x 1.2 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,7.1 x 6.7 x 1.2 mm,7.1 x 6.7 x 1.2 mm,1R5 | 0.47 10 2.7 7.7 | -40 to +125 | No | N/A,Active,7.1,6.7,1.2,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0615,SRP0615,7.1 x 6.7 x 1.5 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,7.1 x 6.7 x 1.5 mm,7.1 x 6.7 x 1.5 mm,1R5 | 0.47 10 3 12.5 | -40 to +125 | No | N/A,Active,7.1,6.7,1.5,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP0620,SRP0620,7.1 x 6.7 x 2 mm,,0.47,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,7.1 x 6.7 x 2 mm,7.1 x 6.7 x 2 mm,1R5 | 0.47 10 3.6 15.5 | -40 to +125 | No | N/A,Active,7.1,6.7,2,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP3012C,SRP3012C,3.5 x 3.2 x 1 mm,,0.15,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,3.5 x 3.2 x 1 mm,3.5 x 3.2 x 1 mm,2201906H | 0.15 10 1.1 10 | -40 to +125 | No | N/A,Active,3.5,3.2,1,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP3020C,SRP3020C,3.5 x 3.2 x 1.8 mm,,0.1,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,3.5 x 3.2 x 1.8 mm,3.5 x 3.2 x 1.8 mm,2201906H | 0.1 10 1.3 10 | -40 to +125 | No | N/A,Active,3.5,3.2,1.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP5020C,SRP5020C,5.7 x 5.2 x 1.8 mm,,0.1,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.7 x 5.2 x 1.8 mm,5.7 x 5.2 x 1.8 mm,2201906H | 0.1 10 2.5 20 | -40 to +125 | No | N/A,Active,5.7,5.2,1.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP5030C,SRP5030C,5.7 x 5.2 x 2.8 mm,,0.1,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,5.7 x 5.2 x 2.8 mm,5.7 x 5.2 x 2.8 mm,2201906H | 0.1 10 2.8 25 | -40 to +125 | No | N/A,Active,5.7,5.2,2.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP7028C,SRP7028C,7.1 x 6.6 x 2.8 mm,,0.1,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,7.1 x 6.6 x 2.8 mm,7.1 x 6.6 x 2.8 mm,2201906H | 0.1 22 2.2 37 | -40 to +125 | No | N/A,Active,7.1,6.6,2.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP1038C,SRP1038C,11 x 10 x 3.8 mm,,0.1,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,11 x 10 x 3.8 mm,11 x 10 x 3.8 mm,2201906H | 0.1 47 3.2 53 | -40 to +125 | No | N/A,Active,11,10,3.8,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP1245C,SRP1245C,13.5 x 12.6 x 4.7 mm,,0.15,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,13.5 x 12.6 x 4.7 mm,13.5 x 12.6 x 4.7 mm,2201906H | 0.15 22 7.5 55 | -40 to +125 | No | N/A,Active,13.5,12.6,4.7,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
Bourns,SRP1265C,SRP1265C,13.5 x 12.6 x 6.2 mm,,0.22,UH,,,"Power Inductors - SRP Series, SMD High Current, Shielded",AEC-Q200: No,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Automotive grade: N/A,功率电感,SMT,13.5 x 12.6 x 6.2 mm,13.5 x 12.6 x 6.2 mm,2201906H | 0.22 33 8 55 | -40 to +125 | No | N/A,Active,13.5,12.6,6.2,https://www.bourns.com/docs/technical-documents/technical-library/inductive-components/publications/bourns_inductors_chokes_selection_guide.pdf,Bourns official selection guide PDF,官方网页抽取,2026-04-12,official web table,,,,,,,,,,,,,,,,,,,,,,,,
