品牌,型号,系列,尺寸（inch）,材质（介质）,容值,容值单位,容值误差,耐压（V）,特殊用途,备注1,备注2,备注3,器件类型,安装方式,封装代码,尺寸（mm）,规格摘要,生产状态,长度（mm）,宽度（mm）,高度（mm）,官网链接,数据来源,数据状态,校验时间,校验备注,直径（mm）,脚距（mm）,极性,ESR,纹波电流,寿命（h）,工作温度,阻值@25C,阻值单位,阻值误差,B值,B值条件,共模阻抗,阻抗单位,额定电流,DCR,回路数,电感值,电感单位,电感误差,饱和电流,屏蔽类型,阻抗@100MHz,系列说明,_model_rule_authority,_resistance_ohm,输出频率,频率单位,频差（ppm）,电源电压,输出类型,占空比,频率,负载电容（pF）,驱动电平,_body_size
Panasonic(松下),EXC28CG240U,EXC28CG,,,,,,,EMI/Noise filter,Source archive: EXC28CG240U,Top title: Common mode Noise Filters,Model page: https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC28CG240U,共模电感,SMT,EXC28CG,,Common mode Noise Filters | CT1=0.1036p | RT21=8.839 | RT1=27.37 | LT1=1.043n | K1_2=0.9201 | C1=874p | C3=0.06123p | R1=4199 | R2=0.09307 | R3=128.5,Production,,,,https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC28CG240U,Panasonic official Common_Spara zip,官方SPICE抽取,2026-04-19 17:36,Panasonic Common_Spara | EXC28CG240U,,,,,,,,,,,,,,,,,,1.043,nH,,,,,Common mode Noise Filters,panasonic_common_spara,,,,,,,,,,,
Panasonic(松下),EXC28CG900U,EXC28CG,,,,,,,EMI/Noise filter,Source archive: EXC28CG900U,Top title: Common mode Noise Filters,Model page: https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC28CG900U,共模电感,SMT,EXC28CG,,Common mode Noise Filters | CT1=0.2037p | RT21=6.374 | RT1=26.21 | LT1=1.238n | K1_2=0.9468 | C1=404.8p | C3=0.1107p | R1=8014 | R2=0.1706 | R3=242,Production,,,,https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC28CG900U,Panasonic official Common_Spara zip,官方SPICE抽取,2026-04-19 17:36,Panasonic Common_Spara | EXC28CG900U,,,,,,,,,,,,,,,,,,1.238,nH,,,,,Common mode Noise Filters,panasonic_common_spara,,,,,,,,,,,
Panasonic(松下),EXC28CH500U,EXC28CH,,,,,,,EMI/Noise filter,Source archive: EXC28CH500U,Top title: Common mode Noise Filters,Model page: https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC28CH500U,共模电感,SMT,EXC28CH,,Common mode Noise Filters | CT1=0.0415p | RT21=1.455 | RT1=0.01332 | LT1=0.4516n | K1_2=0.9655 | C1=1000p | C3=0.05314p | R1=2741 | R2=0.06998 | R3=85.43,Production,,,,https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC28CH500U,Panasonic official Common_Spara zip,官方SPICE抽取,2026-04-19 17:36,Panasonic Common_Spara | EXC28CH500U,,,,,,,,,,,,,,,,,,0.4516,nH,,,,,Common mode Noise Filters,panasonic_common_spara,,,,,,,,,,,
Panasonic(松下),EXC28CH900U,EXC28CH,,,,,,,EMI/Noise filter,Source archive: EXC28CH900U,Top title: Common mode Noise Filters,Model page: https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC28CH900U,共模电感,SMT,EXC28CH,,Common mode Noise Filters | CT1=0.0678p | RT21=0.673 | RT1=110.9 | LT1=70.288n | K1_2=0.9577 | C1=928p | C3=0.06539p | R1=883.5 | R2=0.04769 | R3=163.6,Production,,,,https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC28CH900U,Panasonic official Common_Spara zip,官方SPICE抽取,2026-04-19 17:36,Panasonic Common_Spara | EXC28CH900U,,,,,,,,,,,,,,,,,,70.288,nH,,,,,Common mode Noise Filters,panasonic_common_spara,,,,,,,,,,,
Panasonic(松下),EXC34CE121U,EXC34CE,,,,,,,EMI/Noise filter,Source archive: EXC34CE121U,Top title: Common mode Noise Filters,Model page: https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC34CE121U,共模电感,SMT,EXC34CE,,Common mode Noise Filters | CT1=0.3325p | RT21=17.88 | RT1=32.21 | LT1=1.352n | K1_2=0.9574 | C1=913.5p | C3=0.1317p | R1=143.4 | R2=0.07214 | R3=292.5,Production,,,,https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC34CE121U,Panasonic official Common_Spara zip,官方SPICE抽取,2026-04-19 17:36,Panasonic Common_Spara | EXC34CE121U,,,,,,,,,,,,,,,,,,1.352,nH,,,,,Common mode Noise Filters,panasonic_common_spara,,,,,,,,,,,
Panasonic(松下),EXC34CE201U,EXC34CE,,,,,,,EMI/Noise filter,Source archive: EXC34CE201U,Top title: Common mode Noise Filters,Model page: https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC34CE201U,共模电感,SMT,EXC34CE,,Common mode Noise Filters | CT1=0.4092p | RT21=5.583 | RT1=23.22 | LT1=1.951n | K1_2=0.9584 | C1=65.68p | C3=0.1648p | R1=137.3 | R2=0.0812 | R3=7075,Production,,,,https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC34CE201U,Panasonic official Common_Spara zip,官方SPICE抽取,2026-04-19 17:36,Panasonic Common_Spara | EXC34CE201U,,,,,,,,,,,,,,,,,,1.951,nH,,,,,Common mode Noise Filters,panasonic_common_spara,,,,,,,,,,,
Panasonic(松下),EXC34CE670U,EXC34CE,,,,,,,EMI/Noise filter,Source archive: EXC34CE670U,Top title: Common mode Noise Filters,Model page: https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC34CE670U,共模电感,SMT,EXC34CE,,Common mode Noise Filters | CT1=0.2353p | RT21=4.417 | RT1=51.06 | LT1=0.9096n | K1_2=0.9582 | C1=1000p | C3=0.09953p | R1=7069 | R2=0.0497 | R3=50.19,Production,,,,https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC34CE670U,Panasonic official Common_Spara zip,官方SPICE抽取,2026-04-19 17:36,Panasonic Common_Spara | EXC34CE670U,,,,,,,,,,,,,,,,,,0.9096,nH,,,,,Common mode Noise Filters,panasonic_common_spara,,,,,,,,,,,
Panasonic(松下),EXC34CE900U,EXC34CE,,,,,,,EMI/Noise filter,Source archive: EXC34CE900U,Top title: Common mode Noise Filters,Model page: https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC34CE900U,共模电感,SMT,EXC34CE,,Common mode Noise Filters | CT1=0.2809p | RT21=6.806 | RT1=36.2 | LT1=1.452n | K1_2=0.9625 | C1=950.2p | C3=0.1206p | R1=5702 | R2=0.06838 | R3=74.65,Production,,,,https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC34CE900U,Panasonic official Common_Spara zip,官方SPICE抽取,2026-04-19 17:36,Panasonic Common_Spara | EXC34CE900U,,,,,,,,,,,,,,,,,,1.452,nH,,,,,Common mode Noise Filters,panasonic_common_spara,,,,,,,,,,,
Panasonic(松下),EXC34CG900U,EXC34CG,,,,,,,EMI/Noise filter,Source archive: EXC34CG900U,Top title: Common mode Noise Filters,Model page: https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC34CG900U,共模电感,SMT,EXC34CG,,Common mode Noise Filters | CT1=0.1551p | RT21=12.38 | RT1=46.51 | LT1=2.797n | K1_2=0.9396 | C1=677.8p | C3=0.1052p | R1=4208 | R2=0.1551 | R3=246.7,Production,,,,https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXC34CG900U,Panasonic official Common_Spara zip,官方SPICE抽取,2026-04-19 17:36,Panasonic Common_Spara | EXC34CG900U,,,,,,,,,,,,,,,,,,2.797,nH,,,,,Common mode Noise Filters,panasonic_common_spara,,,,,,,,,,,
Panasonic(松下),EXCX4CE600U,EXCX4CE,,,,,,,EMI/Noise filter,Source archive: EXCX4CE600U,Top title: Common mode Noise Filters,Model page: https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXCX4CE600U,共模电感,SMT,EXCX4CE,,Common mode Noise Filters | CT1=0.1419p | RT21=4.128 | RT1=21.46 | LT1=0.9395n | K1_2=0.9382 | C1=0.4161p | C3=0.1162p | R1=107.5 | R2=0.1734 | R3=27.09,Production,,,,https://industrial.panasonic.com/ww/products/pt/noise-filters/models/EXCX4CE600U,Panasonic official Common_Spara zip,官方SPICE抽取,2026-04-19 17:36,Panasonic Common_Spara | EXCX4CE600U,,,,,,,,,,,,,,,,,,0.9395,nH,,,,,Common mode Noise Filters,panasonic_common_spara,,,,,,,,,,,
